image_path,label
LCC_FASD_training/real/AA5742_id154_s0_112.png,0
LCC_FASD_training/real/AA5742_id154_s0_112.png,1
LCC_FASD_training/real/AA5742_id154_s0_112.png,2
LCC_FASD_training/real/AA5742_id154_s0_112.png,3
LCC_FASD_training/real/AA5742_id154_s0_137.png,0
LCC_FASD_training/real/AA5742_id154_s0_137.png,1
LCC_FASD_training/real/AA5742_id154_s0_137.png,2
LCC_FASD_training/real/AA5742_id154_s0_137.png,3
LCC_FASD_training/real/AA5742_id154_s0_15.png,0
LCC_FASD_training/real/AA5742_id154_s0_15.png,1
LCC_FASD_training/real/AA5742_id154_s0_15.png,2
LCC_FASD_training/real/AA5742_id154_s0_15.png,3
LCC_FASD_training/real/AA5742_id154_s0_47.png,0
LCC_FASD_training/real/AA5742_id154_s0_47.png,1
LCC_FASD_training/real/AA5742_id154_s0_47.png,2
LCC_FASD_training/real/AA5742_id154_s0_47.png,3
LCC_FASD_training/real/AA5742_id154_s0_62.png,0
LCC_FASD_training/real/AA5742_id154_s0_62.png,1
LCC_FASD_training/real/AA5742_id154_s0_62.png,2
LCC_FASD_training/real/AA5742_id154_s0_62.png,3
LCC_FASD_training/real/AA5742_id154_s0_81.png,0
LCC_FASD_training/real/AA5742_id154_s0_81.png,1
LCC_FASD_training/real/AA5742_id154_s0_81.png,2
LCC_FASD_training/real/AA5742_id154_s0_81.png,3
LCC_FASD_training/real/AA5742_id154_s0_96.png,0
LCC_FASD_training/real/AA5742_id154_s0_96.png,1
LCC_FASD_training/real/AA5742_id154_s0_96.png,2
LCC_FASD_training/real/AA5742_id154_s0_96.png,3
LCC_FASD_training/real/AAE5573GP98K_id159_s0_118.png,0
LCC_FASD_training/real/AAE5573GP98K_id159_s0_118.png,1
LCC_FASD_training/real/AAE5573GP98K_id159_s0_118.png,2
LCC_FASD_training/real/AAE5573GP98K_id159_s0_118.png,3
LCC_FASD_training/real/AAE5573GP98K_id159_s0_137.png,0
LCC_FASD_training/real/AAE5573GP98K_id159_s0_137.png,1
LCC_FASD_training/real/AAE5573GP98K_id159_s0_137.png,2
